code,name,notes
0,Norway,"Includes also Svalbard and Jan Mayen (SJ, SJM, 744, 001) despite the fact that the islands have their own code."
101,Denmark,""
102,Greenland,""
103,Finland,"Be aware of that Åland (AX, ALA, 248, 107) excludes for some purposes after it got its  own code in 2004."
104,Faroe Islands (the),""
105,Iceland,""
106,Sweden,""
111,Albania,""
112,Belgium,""
113,Bulgaria,""
114,Andorra,""
115,Estonia,"Former Soviet Union (SU, SUN, 810, 135)."
117,France,"In some cases various compositions are made: Metropolitan France (former FX, FXX, 249, 199), F. Guiana (GF, GUF, 254, 745), Guadalope (GP, GLP, 312, 630 eller 631), Saint-Martin (MF, MAF, 663, 686), Martinique (MQ, MTQ, 474, 650), Reunion (RE, REU, 638, 3"
118,Gibraltar,""
119,Greece,""
120,Belarus,"Belarus (BY, BLR, 112, 120) changed norwegian name."
121,Ireland,""
122,Croatia,"Former Yugoslavia  (YU, YUG, 890, 116)."
123,Italy,""
124,Latvia,"Former Soviet Union (SU, SUN, 810, 135)."
126,Malta,""
127,Netherlands (the),"The autonomous island territories of.The Caribbean (or their historical collections) which is part of the kingdom.appears under the following codes:.(AW, ABW, 533, 657) Aruba; (BQ, BES, 535, 659) Bonaire, Sint.Eustatius and Saba; (CW, CUW, 531, 661) Curaç"
128,Liechtenstein,""
129,Luxembourg,""
130,Monaco,""
131,Poland,""
132,Portugal,""
133,Romania,Change of three-letter code from ROM to ROU.
134,San Marino,""
136,Lithuania,"Former Soviet Union (SU, SUN, 810, 135)."
137,Spain,""
138,Moldova (the Republic of),"Former Soviet Union (SU, SUN, 810, 135)."
139,United Kingdom of Great Britain and Northern Ireland (the),"Formerly part of Great Britain (GB, GBR, 826, 139)."
140,Russian Federation (the),"Former Soviet Union (SU, SUN, 810, 135)."
141,Switzerland,""
143,Türkiye,Former english name was Turkey.
144,Germany,"Merging of German Democratic Republic (DD, DDR, 278, 151) and Ferderal Republic of Germany (DE, DEU, 280, 144)."
146,Slovenia,"Former Yugoslavia  (YU, YUG, 890, 116)."
148,Ukraine,""
152,Hungary,""
153,Austria,""
154,Holy See (the),""
155,Bosnia and Herzegovina,"Former Yugoslavia  (YU, YUG, 890, 116)."
156,North Macedonia,"Former Macedonia (MK, MKD, 807, 156)."
157,Slovakia,"Former Czechoslovakia (CS, CSK, 200, 142)."
158,Czechia,"Former Czechoslovakia (CS, CSK, 200, 142)."
159,Serbia,"Former  Serbia and Montenegro (CS, SCG, 891, 125). Included Kosovo."
160,Montenegro,"Former  Serbia and Montenegro (CS, SCG, 891, 125)."
161,Kosovo,"Alfa-2, alfa-3 and num-3 are temporary codes. SSB-3 is officialy assigned."
162,Guernsey,"Formerly part of Great Britain (GB, GBR, 826, 139)."
163,Jersey,"Formerly part of Great Britain (GB, GBR, 826, 139)."
164,Isle of Man,"Formerly part of Great Britain (GB, GBR, 826, 139)."
203,Algeria,""
204,Angola,Portuguese colony until 1975.
205,Botswana,""
209,"Saint Helena, Ascension and Tristan da Cunha","Formerly Saint Helena and Dependencies (SH, SHN, 654, 209)."
213,British Indian Ocean Territory (the),""
216,Burundi,""
220,Comoros (the),"Separated form Mayotte. Mayotte was included into France (FR, FRA, 250) without getting its own code."
229,Benin,"Former Dahomey (DY, DHY, 204, 229)."
235,Equatorial Guinea,""
239,Côte d'lvoire,""
241,Eritrea,"Formerly part of Ethiopia (ET, ETH, 230, 246)."
246,Ethiopia,"Formerly part of Ethiopia (ET, ETH, 230, 246)."
249,Egypt,""
250,Djibouti,"Formerly  French Territory of the Afars and the Issas (AI, AFI, 262, 250)."
254,Gabon,""
256,Gambia (the),""
260,Ghana,""
264,Guinea,""
266,Guinea-Bissau,Portuguese colony until september 1974.
270,Cameroon,""
273,Cabo Verde,Portuguese colony until 1975.
276,Kenya,""
278,Congo (the),""
279,Congo (the Democratic Republic of the),"Formerly Zaïre (ZR, ZAR, 180, 279)."
281,Lesotho,""
283,Liberia,""
286,Libya,""
289,Madagascar,""
296,Malawi,""
299,Mali,""
303,Morocco,""
304,Western Sahara,"Formerly Spanish  Sahara (EH, EHS,732, 304). Now without Spanish territories in Africa (XC, ---, 728, 349)."
306,Mauritania,""
307,Mauritius,""
308,Namibia,"Formerly part of South Africa (ZA, ZAF, 710, 358)."
309,Niger (the),""
313,Nigeria,""
319,Mozambique,Portuguese colony until 1975.
322,Mayotte,"Separated from Comoros (KM, COM, 174, 219) i 1976 and became part of France  (FR, FRA, 250, 117) intil 1993 (without mentioning it explicit). From 1993 has Mayotte got it's own code (as a new code for France métropolitaine (FX,FXX,249, 199) were appended"
323,Réunion,Also as a subdivision of France.(FR-RE).
